rgb,depth,mask,type,physical_id,placement_id,frame,occupancy,t,area_mm2,length_mm,width_mm,elongation,max_height_mm,mean_height_mm,p90_height_mm,height_std_mm,volume_mm3,invalid_depth_frac
syringe_with_fixed_needle\sim_syringe_with_fixed_needle_001\sim_syringe_with_fixed_needle_001_p000\rgb_00.png,syringe_with_fixed_needle\sim_syringe_with_fixed_needle_001\sim_syringe_with_fixed_needle_001_p000\depth_00.png,syringe_with_fixed_needle\sim_syringe_with_fixed_needle_001\sim_syringe_with_fixed_needle_001_p000\mask.png,syringe_with_fixed_needle,sim_syringe_with_fixed_needle_001,sim_syringe_with_fixed_needle_001_p000,0,ONE,1790365379.643,925.5625,114.2173,13.2755,8.6036,14.6926,10.9382,12.7318,2.5499,9941.4941,0.0011
syringe_with_fixed_needle\sim_syringe_with_fixed_needle_001\sim_syringe_with_fixed_needle_001_p000\rgb_01.png,syringe_with_fixed_needle\sim_syringe_with_fixed_needle_001\sim_syringe_with_fixed_needle_001_p000\depth_01.png,syringe_with_fixed_needle\sim_syringe_with_fixed_needle_001\sim_syringe_with_fixed_needle_001_p000\mask.png,syringe_with_fixed_needle,sim_syringe_with_fixed_needle_001,sim_syringe_with_fixed_needle_001_p000,1,ONE,1790365379.862,927.25,114.2202,14.3556,7.9565,14.424,10.9257,12.7501,2.5853,9943.7129,0.0013
syringe_with_fixed_needle\sim_syringe_with_fixed_needle_002\sim_syringe_with_fixed_needle_002_p000\rgb_00.png,syringe_with_fixed_needle\sim_syringe_with_fixed_needle_002\sim_syringe_with_fixed_needle_002_p000\depth_00.png,syringe_with_fixed_needle\sim_syringe_with_fixed_needle_002\sim_syringe_with_fixed_needle_002_p000\mask.png,syringe_with_fixed_needle,sim_syringe_with_fixed_needle_002,sim_syringe_with_fixed_needle_002_p000,0,ONE,1790365380.149,921.1875,114.0513,13.4604,8.4731,14.334,10.8961,12.7399,2.6295,9863.7012,0.0018
syringe_with_fixed_needle\sim_syringe_with_fixed_needle_002\sim_syringe_with_fixed_needle_002_p000\rgb_01.png,syringe_with_fixed_needle\sim_syringe_with_fixed_needle_002\sim_syringe_with_fixed_needle_002_p000\depth_01.png,syringe_with_fixed_needle\sim_syringe_with_fixed_needle_002\sim_syringe_with_fixed_needle_002_p000\mask.png,syringe_with_fixed_needle,sim_syringe_with_fixed_needle_002,sim_syringe_with_fixed_needle_002_p000,1,ONE,1790365380.364,926.75,114.0849,14.2509,8.0055,14.9179,10.8544,12.7251,2.6852,9861.2324,0.0013
syringe_with_fixed_needle\sim_syringe_with_fixed_needle_003\sim_syringe_with_fixed_needle_003_p000\rgb_00.png,syringe_with_fixed_needle\sim_syringe_with_fixed_needle_003\sim_syringe_with_fixed_needle_003_p000\depth_00.png,syringe_with_fixed_needle\sim_syringe_with_fixed_needle_003\sim_syringe_with_fixed_needle_003_p000\mask.png,syringe_with_fixed_needle,sim_syringe_with_fixed_needle_003,sim_syringe_with_fixed_needle_003_p000,0,ONE,1790365380.661,917.5625,114.3328,13.1519,8.6933,14.4781,10.9125,12.736,2.5733,9867.6113,0.0014
syringe_with_fixed_needle\sim_syringe_with_fixed_needle_003\sim_syringe_with_fixed_needle_003_p000\rgb_01.png,syringe_with_fixed_needle\sim_syringe_with_fixed_needle_003\sim_syringe_with_fixed_needle_003_p000\depth_01.png,syringe_with_fixed_needle\sim_syringe_with_fixed_needle_003\sim_syringe_with_fixed_needle_003_p000\mask.png,syringe_with_fixed_needle,sim_syringe_with_fixed_needle_003,sim_syringe_with_fixed_needle_003_p000,1,ONE,1790365380.873,922.4375,115.1692,14.5605,7.9097,15.0172,10.898,12.7389,2.6066,9881.0508,0.0013
scalpel_blade\sim_scalpel_blade_000\sim_scalpel_blade_000_p000\rgb_00.png,scalpel_blade\sim_scalpel_blade_000\sim_scalpel_blade_000_p000\depth_00.png,scalpel_blade\sim_scalpel_blade_000\sim_scalpel_blade_000_p000\mask.png,scalpel_blade,sim_scalpel_blade_000,sim_scalpel_blade_000_p000,0,ONE,1790365381.175,620.5,58.2546,11.5353,5.0501,7.2015,4.9682,5.8163,0.7835,400.873,0.8612
scalpel_blade\sim_scalpel_blade_000\sim_scalpel_blade_000_p000\rgb_01.png,scalpel_blade\sim_scalpel_blade_000\sim_scalpel_blade_000_p000\depth_01.png,scalpel_blade\sim_scalpel_blade_000\sim_scalpel_blade_000_p000\mask.png,scalpel_blade,sim_scalpel_blade_000,sim_scalpel_blade_000_p000,1,ONE,1790365381.388,624.0625,58.9704,13.0309,4.5254,7.0638,4.885,5.8682,0.9847,401.1768,0.8565
scalpel_blade\sim_scalpel_blade_001\sim_scalpel_blade_001_p000\rgb_00.png,scalpel_blade\sim_scalpel_blade_001\sim_scalpel_blade_001_p000\depth_00.png,scalpel_blade\sim_scalpel_blade_001\sim_scalpel_blade_001_p000\mask.png,scalpel_blade,sim_scalpel_blade_001,sim_scalpel_blade_001_p000,0,ONE,1790365381.66,628.375,59.0683,12.2255,4.8316,7.0395,4.9239,5.8559,0.9012,407.1467,0.8588
scalpel_blade\sim_scalpel_blade_001\sim_scalpel_blade_001_p000\rgb_01.png,scalpel_blade\sim_scalpel_blade_001\sim_scalpel_blade_001_p000\depth_01.png,scalpel_blade\sim_scalpel_blade_001\sim_scalpel_blade_001_p000\mask.png,scalpel_blade,sim_scalpel_blade_001,sim_scalpel_blade_001_p000,1,ONE,1790365381.866,627.9375,58.9405,12.1899,4.8352,7.5088,4.8784,5.8561,0.9682,405.8203,0.859
scalpel_blade\sim_scalpel_blade_002\sim_scalpel_blade_002_p000\rgb_00.png,scalpel_blade\sim_scalpel_blade_002\sim_scalpel_blade_002_p000\depth_00.png,scalpel_blade\sim_scalpel_blade_002\sim_scalpel_blade_002_p000\mask.png,scalpel_blade,sim_scalpel_blade_002,sim_scalpel_blade_002_p000,0,ONE,1790365382.127,621.8125,58.1794,11.3749,5.1147,7.3375,4.9314,5.8152,0.8069,408.3835,0.8574
scalpel_blade\sim_scalpel_blade_002\sim_scalpel_blade_002_p000\rgb_01.png,scalpel_blade\sim_scalpel_blade_002\sim_scalpel_blade_002_p000\depth_01.png,scalpel_blade\sim_scalpel_blade_002\sim_scalpel_blade_002_p000\mask.png,scalpel_blade,sim_scalpel_blade_002,sim_scalpel_blade_002_p000,1,ONE,1790365382.333,622.6875,58.8603,11.7894,4.9927,7.0159,4.8769,5.8036,0.9202,407.2245,0.8568
scalpel_blade\sim_scalpel_blade_003\sim_scalpel_blade_003_p000\rgb_00.png,scalpel_blade\sim_scalpel_blade_003\sim_scalpel_blade_003_p000\depth_00.png,scalpel_blade\sim_scalpel_blade_003\sim_scalpel_blade_003_p000\mask.png,scalpel_blade,sim_scalpel_blade_003,sim_scalpel_blade_003_p000,0,ONE,1790365382.597,622.8125,58.3209,12.4619,4.6799,6.9565,4.8802,5.7924,0.87,400.7856,0.8578
scalpel_blade\sim_scalpel_blade_003\sim_scalpel_blade_003_p000\rgb_01.png,scalpel_blade\sim_scalpel_blade_003\sim_scalpel_blade_003_p000\depth_01.png,scalpel_blade\sim_scalpel_blade_003\sim_scalpel_blade_003_p000\mask.png,scalpel_blade,sim_scalpel_blade_003,sim_scalpel_blade_003_p000,1,ONE,1790365382.799,622.375,58.5575,11.8024,4.9615,6.95,4.9106,5.8015,0.8943,404.5127,0.8581
lancet\sim_lancet_000\sim_lancet_000_p000\rgb_00.png,lancet\sim_lancet_000\sim_lancet_000_p000\depth_00.png,lancet\sim_lancet_000\sim_lancet_000_p000\mask.png,lancet,sim_lancet_000,sim_lancet_000_p000,0,ONE,1790365383.066,206.125,28.7446,7.5391,3.8127,6.176,3.9051,4.8024,0.8231,794.1985,0.0006
lancet\sim_lancet_000\sim_lancet_000_p000\rgb_01.png,lancet\sim_lancet_000\sim_lancet_000_p000\depth_01.png,lancet\sim_lancet_000\sim_lancet_000_p000\mask.png,lancet,sim_lancet_000,sim_lancet_000_p000,1,ONE,1790365383.278,208.0,28.9627,8.9465,3.2373,6.0168,3.9126,4.809,0.8325,799.8804,0.0006
lancet\sim_lancet_001\sim_lancet_001_p000\rgb_00.png,lancet\sim_lancet_001\sim_lancet_001_p000\depth_00.png,lancet\sim_lancet_001\sim_lancet_001_p000\mask.png,lancet,sim_lancet_001,sim_lancet_001_p000,0,ONE,1790365383.557,206.5,28.6135,7.3342,3.9014,6.1317,3.9143,4.8123,0.8004,797.7906,0.0006
lancet\sim_lancet_001\sim_lancet_001_p000\rgb_01.png,lancet\sim_lancet_001\sim_lancet_001_p000\depth_01.png,lancet\sim_lancet_001\sim_lancet_001_p000\mask.png,lancet,sim_lancet_001,sim_lancet_001_p000,1,ONE,1790365383.775,208.0625,29.0125,8.1896,3.5426,6.0482,3.8887,4.8032,0.8493,797.1924,0.0009
lancet\sim_lancet_002\sim_lancet_002_p000\rgb_00.png,lancet\sim_lancet_002\sim_lancet_002_p000\depth_00.png,lancet\sim_lancet_002\sim_lancet_002_p000\mask.png,lancet,sim_lancet_002,sim_lancet_002_p000,0,ONE,1790365384.048,206.125,28.3719,7.3801,3.8444,6.637,3.9369,4.8272,0.8127,800.179,0.0006
lancet\sim_lancet_002\sim_lancet_002_p000\rgb_01.png,lancet\sim_lancet_002\sim_lancet_002_p000\depth_01.png,lancet\sim_lancet_002\sim_lancet_002_p000\mask.png,lancet,sim_lancet_002,sim_lancet_002_p000,1,ONE,1790365384.266,206.625,28.3737,7.8748,3.6031,6.024,3.9268,4.8211,0.8201,799.3445,0.0012
lancet\sim_lancet_003\sim_lancet_003_p000\rgb_00.png,lancet\sim_lancet_003\sim_lancet_003_p000\depth_00.png,lancet\sim_lancet_003\sim_lancet_003_p000\mask.png,lancet,sim_lancet_003,sim_lancet_003_p000,0,ONE,1790365384.558,205.0,28.3109,7.3801,3.8361,6.1958,3.9283,4.7991,0.7818,794.2626,0.0003
lancet\sim_lancet_003\sim_lancet_003_p000\rgb_01.png,lancet\sim_lancet_003\sim_lancet_003_p000\depth_01.png,lancet\sim_lancet_003\sim_lancet_003_p000\mask.png,lancet,sim_lancet_003,sim_lancet_003_p000,1,ONE,1790365384.775,206.25,28.3109,8.2173,3.4453,6.3047,3.9016,4.7868,0.8165,792.5084,0.0027
syringe_without_needle\sim_syringe_without_needle_000\sim_syringe_without_needle_000_p000\rgb_00.png,syringe_without_needle\sim_syringe_without_needle_000\sim_syringe_without_needle_000_p000\depth_00.png,syringe_without_needle\sim_syringe_without_needle_000\sim_syringe_without_needle_000_p000\mask.png,syringe_without_needle,sim_syringe_without_needle_000,sim_syringe_without_needle_000_p000,0,ONE,1790365385.051,1102.125,86.0867,14.6652,5.8701,15.3749,12.4247,13.7612,1.7067,13521.9922,0.001
syringe_without_needle\sim_syringe_without_needle_000\sim_syringe_without_needle_000_p000\rgb_01.png,syringe_without_needle\sim_syringe_without_needle_000\sim_syringe_without_needle_000_p000\depth_01.png,syringe_without_needle\sim_syringe_without_needle_000\sim_syringe_without_needle_000_p000\mask.png,syringe_without_needle,sim_syringe_without_needle_000,sim_syringe_without_needle_000_p000,1,ONE,1790365385.259,1100.5,85.3913,15.0068,5.6902,15.5716,12.418,13.766,1.7108,13511.5176,0.0011
syringe_without_needle\sim_syringe_without_needle_001\sim_syringe_without_needle_001_p000\rgb_00.png,syringe_without_needle\sim_syringe_without_needle_001\sim_syringe_without_needle_001_p000\depth_00.png,syringe_without_needle\sim_syringe_without_needle_001\sim_syringe_without_needle_001_p000\mask.png,syringe_without_needle,sim_syringe_without_needle_001,sim_syringe_without_needle_001_p000,0,ONE,1790365385.535,1096.125,85.4508,14.8814,5.7421,15.4214,12.3992,13.7534,1.8158,13443.8145,0.001
syringe_without_needle\sim_syringe_without_needle_001\sim_syringe_without_needle_001_p000\rgb_01.png,syringe_without_needle\sim_syringe_without_needle_001\sim_syringe_without_needle_001_p000\depth_01.png,syringe_without_needle\sim_syringe_without_needle_001\sim_syringe_without_needle_001_p000\mask.png,syringe_without_needle,sim_syringe_without_needle_001,sim_syringe_without_needle_001_p000,1,ONE,1790365385.744,1094.125,86.0029,14.3775,5.9818,15.3223,12.4232,13.764,1.7455,13445.7383,0.001
syringe_without_needle\sim_syringe_without_needle_002\sim_syringe_without_needle_002_p000\rgb_00.png,syringe_without_needle\sim_syringe_without_needle_002\sim_syringe_without_needle_002_p000\depth_00.png,syringe_without_needle\sim_syringe_without_needle_002\sim_syringe_without_needle_002_p000\mask.png,syringe_without_needle,sim_syringe_without_needle_002,sim_syringe_without_needle_002_p000,0,ONE,1790365386.01,1098.875,85.5297,14.4002,5.9395,15.5317,12.4246,13.7596,1.7348,13516.3711,0.001
syringe_without_needle\sim_syringe_without_needle_002\sim_syringe_without_needle_002_p000\rgb_01.png,syringe_without_needle\sim_syringe_without_needle_002\sim_syringe_without_needle_002_p000\depth_01.png,syringe_without_needle\sim_syringe_without_needle_002\sim_syringe_without_needle_002_p000\mask.png,syringe_without_needle,sim_syringe_without_needle_002,sim_syringe_without_needle_002_p000,1,ONE,1790365386.229,1102.3125,85.4483,14.8892,5.7389,15.4755,12.4072,13.7478,1.7786,13506.8418,0.0014
syringe_without_needle\sim_syringe_without_needle_003\sim_syringe_without_needle_003_p000\rgb_00.png,syringe_without_needle\sim_syringe_without_needle_003\sim_syringe_without_needle_003_p000\depth_00.png,syringe_without_needle\sim_syringe_without_needle_003\sim_syringe_without_needle_003_p000\mask.png,syringe_without_needle,sim_syringe_without_needle_003,sim_syringe_without_needle_003_p000,0,ONE,1790365386.499,1091.9375,86.2511,14.671,5.879,15.4052,12.4202,13.7763,1.7385,13423.1133,0.0009
syringe_without_needle\sim_syringe_without_needle_003\sim_syringe_without_needle_003_p000\rgb_01.png,syringe_without_needle\sim_syringe_without_needle_003\sim_syringe_without_needle_003_p000\depth_01.png,syringe_without_needle\sim_syringe_without_needle_003\sim_syringe_without_needle_003_p000\mask.png,syringe_without_needle,sim_syringe_without_needle_003,sim_syringe_without_needle_003_p000,1,ONE,1790365386.72,1095.5,86.4055,15.5226,5.5664,15.4872,12.395,13.7502,1.8049,13417.5635,0.0012
iv_set_tubing\sim_iv_set_tubing_000\sim_iv_set_tubing_000_p000\rgb_00.png,iv_set_tubing\sim_iv_set_tubing_000\sim_iv_set_tubing_000_p000\depth_00.png,iv_set_tubing\sim_iv_set_tubing_000\sim_iv_set_tubing_000_p000\mask.png,iv_set_tubing,sim_iv_set_tubing_000,sim_iv_set_tubing_000_p000,0,ONE,1790365386.98,582.5,100.3023,13.091,7.6619,12.1636,6.2608,10.4213,3.0828,3551.8425,0.0016
iv_set_tubing\sim_iv_set_tubing_000\sim_iv_set_tubing_000_p000\rgb_01.png,iv_set_tubing\sim_iv_set_tubing_000\sim_iv_set_tubing_000_p000\depth_01.png,iv_set_tubing\sim_iv_set_tubing_000\sim_iv_set_tubing_000_p000\mask.png,iv_set_tubing,sim_iv_set_tubing_000,sim_iv_set_tubing_000_p000,1,ONE,1790365387.192,584.125,100.3023,12.349,8.1223,12.4695,6.2404,10.4139,3.0949,3552.7441,0.0013
iv_set_tubing\sim_iv_set_tubing_001\sim_iv_set_tubing_001_p000\rgb_00.png,iv_set_tubing\sim_iv_set_tubing_001\sim_iv_set_tubing_001_p000\depth_00.png,iv_set_tubing\sim_iv_set_tubing_001\sim_iv_set_tubing_001_p000\mask.png,iv_set_tubing,sim_iv_set_tubing_001,sim_iv_set_tubing_001_p000,0,ONE,1790365387.447,574.8125,100.2324,13.0815,7.6622,12.1144,6.269,10.3858,3.0911,3522.3965,0.0014
iv_set_tubing\sim_iv_set_tubing_001\sim_iv_set_tubing_001_p000\rgb_01.png,iv_set_tubing\sim_iv_set_tubing_001\sim_iv_set_tubing_001_p000\depth_01.png,iv_set_tubing\sim_iv_set_tubing_001\sim_iv_set_tubing_001_p000\mask.png,iv_set_tubing,sim_iv_set_tubing_001,sim_iv_set_tubing_001_p000,1,ONE,1790365387.659,576.3125,100.2972,13.4767,7.4423,12.1273,6.2373,10.3937,3.1116,3508.8877,0.001
iv_set_tubing\sim_iv_set_tubing_002\sim_iv_set_tubing_002_p000\rgb_00.png,iv_set_tubing\sim_iv_set_tubing_002\sim_iv_set_tubing_002_p000\depth_00.png,iv_set_tubing\sim_iv_set_tubing_002\sim_iv_set_tubing_002_p000\mask.png,iv_set_tubing,sim_iv_set_tubing_002,sim_iv_set_tubing_002_p000,0,ONE,1790365387.913,584.3125,100.3632,12.4068,8.0894,12.1636,6.2487,10.4237,3.0919,3562.1606,0.0019
iv_set_tubing\sim_iv_set_tubing_002\sim_iv_set_tubing_002_p000\rgb_01.png,iv_set_tubing\sim_iv_set_tubing_002\sim_iv_set_tubing_002_p000\depth_01.png,iv_set_tubing\sim_iv_set_tubing_002\sim_iv_set_tubing_002_p000\mask.png,iv_set_tubing,sim_iv_set_tubing_002,sim_iv_set_tubing_002_p000,1,ONE,1790365388.122,585.4375,100.9792,12.9303,7.8095,12.5241,6.2444,10.4339,3.1046,3565.5762,0.0014
iv_set_tubing\sim_iv_set_tubing_003\sim_iv_set_tubing_003_p000\rgb_00.png,iv_set_tubing\sim_iv_set_tubing_003\sim_iv_set_tubing_003_p000\depth_00.png,iv_set_tubing\sim_iv_set_tubing_003\sim_iv_set_tubing_003_p000\mask.png,iv_set_tubing,sim_iv_set_tubing_003,sim_iv_set_tubing_003_p000,0,ONE,1790365388.38,594.3125,100.8919,13.3222,7.5732,12.1701,6.2061,10.4195,3.0893,3592.1775,0.0011
iv_set_tubing\sim_iv_set_tubing_003\sim_iv_set_tubing_003_p000\rgb_01.png,iv_set_tubing\sim_iv_set_tubing_003\sim_iv_set_tubing_003_p000\depth_01.png,iv_set_tubing\sim_iv_set_tubing_003\sim_iv_set_tubing_003_p000\mask.png,iv_set_tubing,sim_iv_set_tubing_003,sim_iv_set_tubing_003_p000,1,ONE,1790365388.586,593.875,100.3527,13.2747,7.5597,12.1534,6.1973,10.3913,3.0942,3589.012,0.0019
catheter\sim_catheter_000\sim_catheter_000_p000\rgb_00.png,catheter\sim_catheter_000\sim_catheter_000_p000\depth_00.png,catheter\sim_catheter_000\sim_catheter_000_p000\mask.png,catheter,sim_catheter_000,sim_catheter_000_p000,0,ONE,1790365388.841,451.125,105.1977,13.7483,7.6517,10.3941,4.5999,8.3572,2.5113,2019.942,0.0017
catheter\sim_catheter_000\sim_catheter_000_p000\rgb_01.png,catheter\sim_catheter_000\sim_catheter_000_p000\depth_01.png,catheter\sim_catheter_000\sim_catheter_000_p000\mask.png,catheter,sim_catheter_000,sim_catheter_000_p000,1,ONE,1790365389.059,449.0625,105.3362,12.1892,8.6417,10.0961,4.5734,8.2999,2.4998,2009.1636,0.0013
catheter\sim_catheter_001\sim_catheter_001_p000\rgb_00.png,catheter\sim_catheter_001\sim_catheter_001_p000\depth_00.png,catheter\sim_catheter_001\sim_catheter_001_p000\mask.png,catheter,sim_catheter_001,sim_catheter_001_p000,0,ONE,1790365389.326,445.75,105.2248,12.1748,8.6429,10.1767,4.5992,8.3449,2.5237,1996.6392,0.0015
catheter\sim_catheter_001\sim_catheter_001_p000\rgb_01.png,catheter\sim_catheter_001\sim_catheter_001_p000\depth_01.png,catheter\sim_catheter_001\sim_catheter_001_p000\mask.png,catheter,sim_catheter_001,sim_catheter_001_p000,1,ONE,1790365389.525,446.3125,105.2248,12.1748,8.6429,10.2773,4.5942,8.3376,2.5096,1995.0132,0.0025
catheter\sim_catheter_002\sim_catheter_002_p000\rgb_00.png,catheter\sim_catheter_002\sim_catheter_002_p000\depth_00.png,catheter\sim_catheter_002\sim_catheter_002_p000\mask.png,catheter,sim_catheter_002,sim_catheter_002_p000,0,ONE,1790365389.787,446.5625,105.25,12.15,8.6626,9.9617,4.5833,8.3387,2.5292,1994.3103,0.0021
catheter\sim_catheter_002\sim_catheter_002_p000\rgb_01.png,catheter\sim_catheter_002\sim_catheter_002_p000\depth_01.png,catheter\sim_catheter_002\sim_catheter_002_p000\mask.png,catheter,sim_catheter_002,sim_catheter_002_p000,1,ONE,1790365390.0,448.0,105.25,12.15,8.6626,10.1387,4.61,8.3363,2.5133,2003.9097,0.0025
catheter\sim_catheter_003\sim_catheter_003_p000\rgb_00.png,catheter\sim_catheter_003\sim_catheter_003_p000\depth_00.png,catheter\sim_catheter_003\sim_catheter_003_p000\mask.png,catheter,sim_catheter_003,sim_catheter_003_p000,0,ONE,1790365390.264,450.75,106.2434,12.1764,8.7254,10.5985,4.5873,8.3282,2.498,2014.1216,0.0012
catheter\sim_catheter_003\sim_catheter_003_p000\rgb_01.png,catheter\sim_catheter_003\sim_catheter_003_p000\depth_01.png,catheter\sim_catheter_003\sim_catheter_003_p000\mask.png,catheter,sim_catheter_003,sim_catheter_003_p000,1,ONE,1790365390.476,452.9375,105.5857,12.425,8.4978,11.2716,4.5531,8.3408,2.5304,2014.4507,0.003
needle\sim_needle_000\sim_needle_000_p001\rgb_00.png,needle\sim_needle_000\sim_needle_000_p001\depth_00.png,needle\sim_needle_000\sim_needle_000_p001\mask.png,needle,sim_needle_000,sim_needle_000_p001,0,ONE,1790365407.769,63.0,42.6907,5.2968,8.0597,6.7679,3.5001,5.6219,2.0743,202.3514,0.005
needle\sim_needle_000\sim_needle_000_p001\rgb_01.png,needle\sim_needle_000\sim_needle_000_p001\depth_01.png,needle\sim_needle_000\sim_needle_000_p001\mask.png,needle,sim_needle_000,sim_needle_000_p001,1,ONE,1790365407.982,63.1875,42.6907,5.2968,8.0597,6.6315,3.4827,5.6594,2.0732,202.8693,0.002
needle\sim_needle_001\sim_needle_001_p001\rgb_00.png,needle\sim_needle_001\sim_needle_001_p001\depth_00.png,needle\sim_needle_001\sim_needle_001_p001\mask.png,needle,sim_needle_001,sim_needle_001_p001,0,ONE,1790365408.259,61.625,43.3725,5.2557,8.2525,6.8242,3.4611,5.5805,2.0649,196.6337,0.002
needle\sim_needle_001\sim_needle_001_p001\rgb_01.png,needle\sim_needle_001\sim_needle_001_p001\depth_01.png,needle\sim_needle_001\sim_needle_001_p001\mask.png,needle,sim_needle_001,sim_needle_001_p001,1,ONE,1790365408.467,64.25,42.654,6.4266,6.6371,6.8989,3.4597,5.6437,2.0788,200.2305,0.0039
needle\sim_needle_002\sim_needle_002_p001\rgb_00.png,needle\sim_needle_002\sim_needle_002_p001\depth_00.png,needle\sim_needle_002\sim_needle_002_p001\mask.png,needle,sim_needle_002,sim_needle_002_p001,0,ONE,1790365408.736,62.0625,42.5783,5.3758,7.9203,6.7726,3.5435,5.6947,2.0759,204.6388,0.002
needle\sim_needle_002\sim_needle_002_p001\rgb_01.png,needle\sim_needle_002\sim_needle_002_p001\depth_01.png,needle\sim_needle_002\sim_needle_002_p001\mask.png,needle,sim_needle_002,sim_needle_002_p001,1,ONE,1790365408.94,63.1875,42.5783,5.3758,7.9203,7.3604,3.5254,5.6509,2.0532,205.3575,0.001
needle\sim_needle_003\sim_needle_003_p001\rgb_00.png,needle\sim_needle_003\sim_needle_003_p001\depth_00.png,needle\sim_needle_003\sim_needle_003_p001\mask.png,needle,sim_needle_003,sim_needle_003_p001,0,ONE,1790365409.229,60.5,42.4207,5.4083,7.8436,7.0392,3.6015,5.6188,2.0448,202.5853,0.001
needle\sim_needle_003\sim_needle_003_p001\rgb_01.png,needle\sim_needle_003\sim_needle_003_p001\depth_01.png,needle\sim_needle_003\sim_needle_003_p001\mask.png,needle,sim_needle_003,sim_needle_003_p001,1,ONE,1790365409.423,61.875,42.5,5.25,8.0952,6.75,3.5531,5.5809,2.0222,201.6393,0.002
