rgb,depth,mask,type,physical_id,placement_id,frame,occupancy,t,area_mm2,length_mm,width_mm,elongation,max_height_mm,mean_height_mm,p90_height_mm,height_std_mm,volume_mm3,invalid_depth_frac,source_split,source_file
source\body_tissue_or_organ\IMG_6898_JPG.rf.cfd46af4ed35097ca17d54e52454db83.jpg,,,body_tissue_or_organ,body_tissue_or_organ:img_6898,body_tissue_or_organ:img_6898:10,0,ONE,,0,0,0,0,0,0,0,0,0,0,test,body_tissue_or_organ/IMG_6898_JPG.rf.cfd46af4ed35097ca17d54e52454db83.jpg
source\body_tissue_or_organ\IMG_6898_JPG.rf.db5c9d44b28f68b90345e6f039000b14.jpg,,,body_tissue_or_organ,body_tissue_or_organ:img_6898,body_tissue_or_organ:img_6898:11,0,ONE,,0,0,0,0,0,0,0,0,0,0,test,body_tissue_or_organ/IMG_6898_JPG.rf.db5c9d44b28f68b90345e6f039000b14.jpg
source\body_tissue_or_organ\IMG_6902.JPG,,,body_tissue_or_organ,body_tissue_or_organ:img_6902,body_tissue_or_organ:img_6902:12,0,ONE,,0,0,0,0,0,0,0,0,0,0,val,body_tissue_or_organ/IMG_6902.JPG
source\body_tissue_or_organ\IMG_6902_JPG.rf.17700003821088d83213216a36da24b8.jpg,,,body_tissue_or_organ,body_tissue_or_organ:img_6902,body_tissue_or_organ:img_6902:13,0,ONE,,0,0,0,0,0,0,0,0,0,0,val,body_tissue_or_organ/IMG_6902_JPG.rf.17700003821088d83213216a36da24b8.jpg
source\body_tissue_or_organ\IMG_6902_JPG.rf.6c7ac7da309457c3ba5752ec7ea2faee.jpg,,,body_tissue_or_organ,body_tissue_or_organ:img_6902,body_tissue_or_organ:img_6902:14,0,ONE,,0,0,0,0,0,0,0,0,0,0,val,body_tissue_or_organ/IMG_6902_JPG.rf.6c7ac7da309457c3ba5752ec7ea2faee.jpg
source\body_tissue_or_organ\IMG_6902_JPG.rf.7b348620b9bef47e282dc9fd63541245.jpg,,,body_tissue_or_organ,body_tissue_or_organ:img_6902,body_tissue_or_organ:img_6902:15,0,ONE,,0,0,0,0,0,0,0,0,0,0,val,body_tissue_or_organ/IMG_6902_JPG.rf.7b348620b9bef47e282dc9fd63541245.jpg
source\body_tissue_or_organ\IMG_6903.JPG,,,body_tissue_or_organ,body_tissue_or_organ:img_6903,body_tissue_or_organ:img_6903:16,0,ONE,,0,0,0,0,0,0,0,0,0,0,val,body_tissue_or_organ/IMG_6903.JPG
source\body_tissue_or_organ\IMG_6903_JPG.rf.24837d07d5cf1c5b42dbf6b6b3d4c13b.jpg,,,body_tissue_or_organ,body_tissue_or_organ:img_6903,body_tissue_or_organ:img_6903:17,0,ONE,,0,0,0,0,0,0,0,0,0,0,val,body_tissue_or_organ/IMG_6903_JPG.rf.24837d07d5cf1c5b42dbf6b6b3d4c13b.jpg
source\body_tissue_or_organ\IMG_6903_JPG.rf.8e9fb5e60799f689cc0c6a57b062fbf6.jpg,,,body_tissue_or_organ,body_tissue_or_organ:img_6903,body_tissue_or_organ:img_6903:18,0,ONE,,0,0,0,0,0,0,0,0,0,0,val,body_tissue_or_organ/IMG_6903_JPG.rf.8e9fb5e60799f689cc0c6a57b062fbf6.jpg
source\body_tissue_or_organ\IMG_6903_JPG.rf.9c91c7bdf9a954d271bfb39cca5605b4.jpg,,,body_tissue_or_organ,body_tissue_or_organ:img_6903,body_tissue_or_organ:img_6903:19,0,ONE,,0,0,0,0,0,0,0,0,0,0,val,body_tissue_or_organ/IMG_6903_JPG.rf.9c91c7bdf9a954d271bfb39cca5605b4.jpg
source\body_tissue_or_organ\IMG_6904.JPG,,,body_tissue_or_organ,body_tissue_or_organ:img_6904,body_tissue_or_organ:img_6904:20,0,ONE,,0,0,0,0,0,0,0,0,0,0,val,body_tissue_or_organ/IMG_6904.JPG
source\body_tissue_or_organ\IMG_6904_JPG.rf.62b8836bb531873c78b7cdaee338a6ad.jpg,,,body_tissue_or_organ,body_tissue_or_organ:img_6904,body_tissue_or_organ:img_6904:21,0,ONE,,0,0,0,0,0,0,0,0,0,0,val,body_tissue_or_organ/IMG_6904_JPG.rf.62b8836bb531873c78b7cdaee338a6ad.jpg
source\body_tissue_or_organ\IMG_6904_JPG.rf.aaeeab5437d529121217fd1d53a9e628.jpg,,,body_tissue_or_organ,body_tissue_or_organ:img_6904,body_tissue_or_organ:img_6904:22,0,ONE,,0,0,0,0,0,0,0,0,0,0,val,body_tissue_or_organ/IMG_6904_JPG.rf.aaeeab5437d529121217fd1d53a9e628.jpg
source\body_tissue_or_organ\IMG_6904_JPG.rf.f763a406c2a340c5c25a0e78ca569e7e.jpg,,,body_tissue_or_organ,body_tissue_or_organ:img_6904,body_tissue_or_organ:img_6904:23,0,ONE,,0,0,0,0,0,0,0,0,0,0,val,body_tissue_or_organ/IMG_6904_JPG.rf.f763a406c2a340c5c25a0e78ca569e7e.jpg
source\body_tissue_or_organ\IMG_6905.JPG,,,body_tissue_or_organ,body_tissue_or_organ:img_6905,body_tissue_or_organ:img_6905:24,0,ONE,,0,0,0,0,0,0,0,0,0,0,train,body_tissue_or_organ/IMG_6905.JPG
source\body_tissue_or_organ\IMG_6905_JPG.rf.b36a42172a3692283d4c846b6ee8c49c.jpg,,,body_tissue_or_organ,body_tissue_or_organ:img_6905,body_tissue_or_organ:img_6905:25,0,ONE,,0,0,0,0,0,0,0,0,0,0,train,body_tissue_or_organ/IMG_6905_JPG.rf.b36a42172a3692283d4c846b6ee8c49c.jpg
source\body_tissue_or_organ\IMG_6905_JPG.rf.c188552e698f0f31587759c022b4da0d.jpg,,,body_tissue_or_organ,body_tissue_or_organ:img_6905,body_tissue_or_organ:img_6905:26,0,ONE,,0,0,0,0,0,0,0,0,0,0,train,body_tissue_or_organ/IMG_6905_JPG.rf.c188552e698f0f31587759c022b4da0d.jpg
source\body_tissue_or_organ\IMG_6905_JPG.rf.ca70fe51d0726847887b071c7a0d2607.jpg,,,body_tissue_or_organ,body_tissue_or_organ:img_6905,body_tissue_or_organ:img_6905:27,0,ONE,,0,0,0,0,0,0,0,0,0,0,train,body_tissue_or_organ/IMG_6905_JPG.rf.ca70fe51d0726847887b071c7a0d2607.jpg
source\body_tissue_or_organ\IMG_6906.JPG,,,body_tissue_or_organ,body_tissue_or_organ:img_6906,body_tissue_or_organ:img_6906:28,0,ONE,,0,0,0,0,0,0,0,0,0,0,train,body_tissue_or_organ/IMG_6906.JPG
source\body_tissue_or_organ\IMG_6906_JPG.rf.2f8fed6308df06f42e3cf53adf0a54b9.jpg,,,body_tissue_or_organ,body_tissue_or_organ:img_6906,body_tissue_or_organ:img_6906:29,0,ONE,,0,0,0,0,0,0,0,0,0,0,train,body_tissue_or_organ/IMG_6906_JPG.rf.2f8fed6308df06f42e3cf53adf0a54b9.jpg
source\body_tissue_or_organ\IMG_6906_JPG.rf.d6960d0fb01901806b2a21b3520f86df.jpg,,,body_tissue_or_organ,body_tissue_or_organ:img_6906,body_tissue_or_organ:img_6906:30,0,ONE,,0,0,0,0,0,0,0,0,0,0,train,body_tissue_or_organ/IMG_6906_JPG.rf.d6960d0fb01901806b2a21b3520f86df.jpg
source\body_tissue_or_organ\IMG_6906_JPG.rf.f7dba94609689ee6bf2d259f3d3e09d6.jpg,,,body_tissue_or_organ,body_tissue_or_organ:img_6906,body_tissue_or_organ:img_6906:31,0,ONE,,0,0,0,0,0,0,0,0,0,0,train,body_tissue_or_organ/IMG_6906_JPG.rf.f7dba94609689ee6bf2d259f3d3e09d6.jpg
source\body_tissue_or_organ\IMG_6907.JPG,,,body_tissue_or_organ,body_tissue_or_organ:img_6907,body_tissue_or_organ:img_6907:32,0,ONE,,0,0,0,0,0,0,0,0,0,0,train,body_tissue_or_organ/IMG_6907.JPG
source\body_tissue_or_organ\IMG_6907_JPG.rf.37e122e22d1536877d14e34dd351fccf.jpg,,,body_tissue_or_organ,body_tissue_or_organ:img_6907,body_tissue_or_organ:img_6907:33,0,ONE,,0,0,0,0,0,0,0,0,0,0,train,body_tissue_or_organ/IMG_6907_JPG.rf.37e122e22d1536877d14e34dd351fccf.jpg
source\body_tissue_or_organ\IMG_6907_JPG.rf.8bd99ddd9905878b3c9e7e8be47cdaf5.jpg,,,body_tissue_or_organ,body_tissue_or_organ:img_6907,body_tissue_or_organ:img_6907:34,0,ONE,,0,0,0,0,0,0,0,0,0,0,train,body_tissue_or_organ/IMG_6907_JPG.rf.8bd99ddd9905878b3c9e7e8be47cdaf5.jpg
source\body_tissue_or_organ\IMG_6907_JPG.rf.f280071eec68ea305084be4352d05524.jpg,,,body_tissue_or_organ,body_tissue_or_organ:img_6907,body_tissue_or_organ:img_6907:35,0,ONE,,0,0,0,0,0,0,0,0,0,0,train,body_tissue_or_organ/IMG_6907_JPG.rf.f280071eec68ea305084be4352d05524.jpg
source\body_tissue_or_organ\IMG_6908.JPG,,,body_tissue_or_organ,body_tissue_or_organ:img_6908,body_tissue_or_organ:img_6908:36,0,ONE,,0,0,0,0,0,0,0,0,0,0,test,body_tissue_or_organ/IMG_6908.JPG
source\body_tissue_or_organ\IMG_6908_JPG.rf.89aee464211c65d8533645b1ded3f2e9.jpg,,,body_tissue_or_organ,body_tissue_or_organ:img_6908,body_tissue_or_organ:img_6908:37,0,ONE,,0,0,0,0,0,0,0,0,0,0,test,body_tissue_or_organ/IMG_6908_JPG.rf.89aee464211c65d8533645b1ded3f2e9.jpg
source\body_tissue_or_organ\IMG_6908_JPG.rf.a42681b867a07516adcb16e816f12cec.jpg,,,body_tissue_or_organ,body_tissue_or_organ:img_6908,body_tissue_or_organ:img_6908:38,0,ONE,,0,0,0,0,0,0,0,0,0,0,test,body_tissue_or_organ/IMG_6908_JPG.rf.a42681b867a07516adcb16e816f12cec.jpg
source\body_tissue_or_organ\IMG_6908_JPG.rf.b0e3176585fa1f85aa60dc5fcfa0391f.jpg,,,body_tissue_or_organ,body_tissue_or_organ:img_6908,body_tissue_or_organ:img_6908:39,0,ONE,,0,0,0,0,0,0,0,0,0,0,test,body_tissue_or_organ/IMG_6908_JPG.rf.b0e3176585fa1f85aa60dc5fcfa0391f.jpg
source\body_tissue_or_organ\IMG_6909.JPG,,,body_tissue_or_organ,body_tissue_or_organ:img_6909,body_tissue_or_organ:img_6909:40,0,ONE,,0,0,0,0,0,0,0,0,0,0,val,body_tissue_or_organ/IMG_6909.JPG
source\body_tissue_or_organ\IMG_6909_JPG.rf.2e22bff84b0b00cf47b8933b78bc34c8.jpg,,,body_tissue_or_organ,body_tissue_or_organ:img_6909,body_tissue_or_organ:img_6909:41,0,ONE,,0,0,0,0,0,0,0,0,0,0,val,body_tissue_or_organ/IMG_6909_JPG.rf.2e22bff84b0b00cf47b8933b78bc34c8.jpg
source\body_tissue_or_organ\IMG_6909_JPG.rf.2fe331574e74db20d6203161cc7ab916.jpg,,,body_tissue_or_organ,body_tissue_or_organ:img_6909,body_tissue_or_organ:img_6909:42,0,ONE,,0,0,0,0,0,0,0,0,0,0,val,body_tissue_or_organ/IMG_6909_JPG.rf.2fe331574e74db20d6203161cc7ab916.jpg
source\body_tissue_or_organ\IMG_6909_JPG.rf.80b5bc7fe4c4f5ebba3fa2fe4f723d67.jpg,,,body_tissue_or_organ,body_tissue_or_organ:img_6909,body_tissue_or_organ:img_6909:43,0,ONE,,0,0,0,0,0,0,0,0,0,0,val,body_tissue_or_organ/IMG_6909_JPG.rf.80b5bc7fe4c4f5ebba3fa2fe4f723d67.jpg
source\body_tissue_or_organ\IMG_6910.JPG,,,body_tissue_or_organ,body_tissue_or_organ:img_6910,body_tissue_or_organ:img_6910:44,0,ONE,,0,0,0,0,0,0,0,0,0,0,train,body_tissue_or_organ/IMG_6910.JPG
source\body_tissue_or_organ\IMG_6910_JPG.rf.00939548bf754348465ecedfadf90c71.jpg,,,body_tissue_or_organ,body_tissue_or_organ:img_6910,body_tissue_or_organ:img_6910:45,0,ONE,,0,0,0,0,0,0,0,0,0,0,train,body_tissue_or_organ/IMG_6910_JPG.rf.00939548bf754348465ecedfadf90c71.jpg
source\body_tissue_or_organ\IMG_6910_JPG.rf.6a917fee2ac1aae944caae7a88467d3e.jpg,,,body_tissue_or_organ,body_tissue_or_organ:img_6910,body_tissue_or_organ:img_6910:46,0,ONE,,0,0,0,0,0,0,0,0,0,0,train,body_tissue_or_organ/IMG_6910_JPG.rf.6a917fee2ac1aae944caae7a88467d3e.jpg
source\body_tissue_or_organ\IMG_6910_JPG.rf.d686fb9aa3606555535518bcc02beae2.jpg,,,body_tissue_or_organ,body_tissue_or_organ:img_6910,body_tissue_or_organ:img_6910:47,0,ONE,,0,0,0,0,0,0,0,0,0,0,train,body_tissue_or_organ/IMG_6910_JPG.rf.d686fb9aa3606555535518bcc02beae2.jpg
source\body_tissue_or_organ\IMG_6911.JPG,,,body_tissue_or_organ,body_tissue_or_organ:img_6911,body_tissue_or_organ:img_6911:48,0,ONE,,0,0,0,0,0,0,0,0,0,0,test,body_tissue_or_organ/IMG_6911.JPG
source\body_tissue_or_organ\IMG_6911_JPG.rf.4feaae75fbc8aea0091396e61ed7115d.jpg,,,body_tissue_or_organ,body_tissue_or_organ:img_6911,body_tissue_or_organ:img_6911:49,0,ONE,,0,0,0,0,0,0,0,0,0,0,test,body_tissue_or_organ/IMG_6911_JPG.rf.4feaae75fbc8aea0091396e61ed7115d.jpg
source\body_tissue_or_organ\IMG_6911_JPG.rf.5f620e5e2478c2ddc723a33c246eb9a4.jpg,,,body_tissue_or_organ,body_tissue_or_organ:img_6911,body_tissue_or_organ:img_6911:50,0,ONE,,0,0,0,0,0,0,0,0,0,0,test,body_tissue_or_organ/IMG_6911_JPG.rf.5f620e5e2478c2ddc723a33c246eb9a4.jpg
source\body_tissue_or_organ\IMG_6911_JPG.rf.8d3bafc37dcc3fe14764c48a985ba787.jpg,,,body_tissue_or_organ,body_tissue_or_organ:img_6911,body_tissue_or_organ:img_6911:51,0,ONE,,0,0,0,0,0,0,0,0,0,0,test,body_tissue_or_organ/IMG_6911_JPG.rf.8d3bafc37dcc3fe14764c48a985ba787.jpg
source\body_tissue_or_organ\IMG_6912.JPG,,,body_tissue_or_organ,body_tissue_or_organ:img_6912,body_tissue_or_organ:img_6912:52,0,ONE,,0,0,0,0,0,0,0,0,0,0,train,body_tissue_or_organ/IMG_6912.JPG
source\body_tissue_or_organ\IMG_6912_JPG.rf.20cf8fb4d68982569056b9db1ae97ef6.jpg,,,body_tissue_or_organ,body_tissue_or_organ:img_6912,body_tissue_or_organ:img_6912:53,0,ONE,,0,0,0,0,0,0,0,0,0,0,train,body_tissue_or_organ/IMG_6912_JPG.rf.20cf8fb4d68982569056b9db1ae97ef6.jpg
source\body_tissue_or_organ\IMG_6912_JPG.rf.390f3f2947e1c879830568c51071918a.jpg,,,body_tissue_or_organ,body_tissue_or_organ:img_6912,body_tissue_or_organ:img_6912:54,0,ONE,,0,0,0,0,0,0,0,0,0,0,train,body_tissue_or_organ/IMG_6912_JPG.rf.390f3f2947e1c879830568c51071918a.jpg
source\body_tissue_or_organ\IMG_6912_JPG.rf.5a16b9ba2c10ce1c243f6ae33d65de05.jpg,,,body_tissue_or_organ,body_tissue_or_organ:img_6912,body_tissue_or_organ:img_6912:55,0,ONE,,0,0,0,0,0,0,0,0,0,0,train,body_tissue_or_organ/IMG_6912_JPG.rf.5a16b9ba2c10ce1c243f6ae33d65de05.jpg
source\body_tissue_or_organ\IMG_6913.JPG,,,body_tissue_or_organ,body_tissue_or_organ:img_6913,body_tissue_or_organ:img_6913:56,0,ONE,,0,0,0,0,0,0,0,0,0,0,train,body_tissue_or_organ/IMG_6913.JPG
source\body_tissue_or_organ\IMG_6913_JPG.rf.008787ce2287063f3495c10e6f3f045a.jpg,,,body_tissue_or_organ,body_tissue_or_organ:img_6913,body_tissue_or_organ:img_6913:57,0,ONE,,0,0,0,0,0,0,0,0,0,0,train,body_tissue_or_organ/IMG_6913_JPG.rf.008787ce2287063f3495c10e6f3f045a.jpg
source\body_tissue_or_organ\IMG_6913_JPG.rf.29190aaa53a2728d3a23b7646a34dc2b.jpg,,,body_tissue_or_organ,body_tissue_or_organ:img_6913,body_tissue_or_organ:img_6913:58,0,ONE,,0,0,0,0,0,0,0,0,0,0,train,body_tissue_or_organ/IMG_6913_JPG.rf.29190aaa53a2728d3a23b7646a34dc2b.jpg
source\body_tissue_or_organ\IMG_6913_JPG.rf.785c88011f3e98911488379960c911da.jpg,,,body_tissue_or_organ,body_tissue_or_organ:img_6913,body_tissue_or_organ:img_6913:59,0,ONE,,0,0,0,0,0,0,0,0,0,0,train,body_tissue_or_organ/IMG_6913_JPG.rf.785c88011f3e98911488379960c911da.jpg
source\body_tissue_or_organ\IMG_6914.JPG,,,body_tissue_or_organ,body_tissue_or_organ:img_6914,body_tissue_or_organ:img_6914:60,0,ONE,,0,0,0,0,0,0,0,0,0,0,val,body_tissue_or_organ/IMG_6914.JPG
source\body_tissue_or_organ\IMG_6914_JPG.rf.185350e4cc1a1193f1c611648a0c02e3.jpg,,,body_tissue_or_organ,body_tissue_or_organ:img_6914,body_tissue_or_organ:img_6914:61,0,ONE,,0,0,0,0,0,0,0,0,0,0,val,body_tissue_or_organ/IMG_6914_JPG.rf.185350e4cc1a1193f1c611648a0c02e3.jpg
source\body_tissue_or_organ\IMG_6914_JPG.rf.81e1c8647f51eb192a3f909f48e21ea0.jpg,,,body_tissue_or_organ,body_tissue_or_organ:img_6914,body_tissue_or_organ:img_6914:62,0,ONE,,0,0,0,0,0,0,0,0,0,0,val,body_tissue_or_organ/IMG_6914_JPG.rf.81e1c8647f51eb192a3f909f48e21ea0.jpg
source\body_tissue_or_organ\IMG_6914_JPG.rf.8f220f7b28b3ec25da530a4c0ad76a02.jpg,,,body_tissue_or_organ,body_tissue_or_organ:img_6914,body_tissue_or_organ:img_6914:63,0,ONE,,0,0,0,0,0,0,0,0,0,0,val,body_tissue_or_organ/IMG_6914_JPG.rf.8f220f7b28b3ec25da530a4c0ad76a02.jpg
source\body_tissue_or_organ\IMG_6915.JPG,,,body_tissue_or_organ,body_tissue_or_organ:img_6915,body_tissue_or_organ:img_6915:64,0,ONE,,0,0,0,0,0,0,0,0,0,0,train,body_tissue_or_organ/IMG_6915.JPG
source\body_tissue_or_organ\IMG_6915_JPG.rf.6f96953f18e5a078df5cb4ec22cfb128.jpg,,,body_tissue_or_organ,body_tissue_or_organ:img_6915,body_tissue_or_organ:img_6915:65,0,ONE,,0,0,0,0,0,0,0,0,0,0,train,body_tissue_or_organ/IMG_6915_JPG.rf.6f96953f18e5a078df5cb4ec22cfb128.jpg
source\body_tissue_or_organ\IMG_6915_JPG.rf.a59e3e7cb97c639f87308dc059f01db5.jpg,,,body_tissue_or_organ,body_tissue_or_organ:img_6915,body_tissue_or_organ:img_6915:66,0,ONE,,0,0,0,0,0,0,0,0,0,0,train,body_tissue_or_organ/IMG_6915_JPG.rf.a59e3e7cb97c639f87308dc059f01db5.jpg
source\body_tissue_or_organ\IMG_6915_JPG.rf.a6ba2b642f50b64f5669e8ec78c42f6c.jpg,,,body_tissue_or_organ,body_tissue_or_organ:img_6915,body_tissue_or_organ:img_6915:67,0,ONE,,0,0,0,0,0,0,0,0,0,0,train,body_tissue_or_organ/IMG_6915_JPG.rf.a6ba2b642f50b64f5669e8ec78c42f6c.jpg
source\body_tissue_or_organ\IMG_6916.JPG,,,body_tissue_or_organ,body_tissue_or_organ:img_6916,body_tissue_or_organ:img_6916:68,0,ONE,,0,0,0,0,0,0,0,0,0,0,train,body_tissue_or_organ/IMG_6916.JPG
source\body_tissue_or_organ\IMG_6916_JPG.rf.3896232b136099dfe4feb35bbb425ff3.jpg,,,body_tissue_or_organ,body_tissue_or_organ:img_6916,body_tissue_or_organ:img_6916:69,0,ONE,,0,0,0,0,0,0,0,0,0,0,train,body_tissue_or_organ/IMG_6916_JPG.rf.3896232b136099dfe4feb35bbb425ff3.jpg
source\body_tissue_or_organ\IMG_6916_JPG.rf.5ea2b0aa4956c3be25096c1ad6e3a522.jpg,,,body_tissue_or_organ,body_tissue_or_organ:img_6916,body_tissue_or_organ:img_6916:70,0,ONE,,0,0,0,0,0,0,0,0,0,0,train,body_tissue_or_organ/IMG_6916_JPG.rf.5ea2b0aa4956c3be25096c1ad6e3a522.jpg
source\body_tissue_or_organ\IMG_6916_JPG.rf.7f787387787f42fac47aa591d1e88fff.jpg,,,body_tissue_or_organ,body_tissue_or_organ:img_6916,body_tissue_or_organ:img_6916:71,0,ONE,,0,0,0,0,0,0,0,0,0,0,train,body_tissue_or_organ/IMG_6916_JPG.rf.7f787387787f42fac47aa591d1e88fff.jpg
source\body_tissue_or_organ\IMG_6917.JPG,,,body_tissue_or_organ,body_tissue_or_organ:img_6917,body_tissue_or_organ:img_6917:72,0,ONE,,0,0,0,0,0,0,0,0,0,0,train,body_tissue_or_organ/IMG_6917.JPG
source\body_tissue_or_organ\IMG_6917_JPG.rf.81af1c70a140ab1fafa3a64ceebc584e.jpg,,,body_tissue_or_organ,body_tissue_or_organ:img_6917,body_tissue_or_organ:img_6917:73,0,ONE,,0,0,0,0,0,0,0,0,0,0,train,body_tissue_or_organ/IMG_6917_JPG.rf.81af1c70a140ab1fafa3a64ceebc584e.jpg
source\body_tissue_or_organ\IMG_6917_JPG.rf.89ffaf6ef11a651cc9e3ca7735c78f4f.jpg,,,body_tissue_or_organ,body_tissue_or_organ:img_6917,body_tissue_or_organ:img_6917:74,0,ONE,,0,0,0,0,0,0,0,0,0,0,train,body_tissue_or_organ/IMG_6917_JPG.rf.89ffaf6ef11a651cc9e3ca7735c78f4f.jpg
source\body_tissue_or_organ\IMG_6917_JPG.rf.9f6ee88b01f85ee549322cc46d61a377.jpg,,,body_tissue_or_organ,body_tissue_or_organ:img_6917,body_tissue_or_organ:img_6917:75,0,ONE,,0,0,0,0,0,0,0,0,0,0,train,body_tissue_or_organ/IMG_6917_JPG.rf.9f6ee88b01f85ee549322cc46d61a377.jpg
source\body_tissue_or_organ\IMG_6918.JPG,,,body_tissue_or_organ,body_tissue_or_organ:img_6918,body_tissue_or_organ:img_6918:76,0,ONE,,0,0,0,0,0,0,0,0,0,0,train,body_tissue_or_organ/IMG_6918.JPG
source\body_tissue_or_organ\IMG_6918_JPG.rf.87af8c1cde13ef48e36320ec7350a5e2.jpg,,,body_tissue_or_organ,body_tissue_or_organ:img_6918,body_tissue_or_organ:img_6918:77,0,ONE,,0,0,0,0,0,0,0,0,0,0,train,body_tissue_or_organ/IMG_6918_JPG.rf.87af8c1cde13ef48e36320ec7350a5e2.jpg
source\body_tissue_or_organ\IMG_6918_JPG.rf.8d0346f462a69ac917a12492f8124828.jpg,,,body_tissue_or_organ,body_tissue_or_organ:img_6918,body_tissue_or_organ:img_6918:78,0,ONE,,0,0,0,0,0,0,0,0,0,0,train,body_tissue_or_organ/IMG_6918_JPG.rf.8d0346f462a69ac917a12492f8124828.jpg
source\body_tissue_or_organ\IMG_6918_JPG.rf.959bb591792b94ee8af6b57bbad9ec9d.jpg,,,body_tissue_or_organ,body_tissue_or_organ:img_6918,body_tissue_or_organ:img_6918:79,0,ONE,,0,0,0,0,0,0,0,0,0,0,train,body_tissue_or_organ/IMG_6918_JPG.rf.959bb591792b94ee8af6b57bbad9ec9d.jpg
source\body_tissue_or_organ\IMG_6919.JPG,,,body_tissue_or_organ,body_tissue_or_organ:img_6919,body_tissue_or_organ:img_6919:80,0,ONE,,0,0,0,0,0,0,0,0,0,0,train,body_tissue_or_organ/IMG_6919.JPG
source\body_tissue_or_organ\IMG_6919_JPG.rf.1e5ca2ff7eec1ac378c5e33148fd64df.jpg,,,body_tissue_or_organ,body_tissue_or_organ:img_6919,body_tissue_or_organ:img_6919:81,0,ONE,,0,0,0,0,0,0,0,0,0,0,train,body_tissue_or_organ/IMG_6919_JPG.rf.1e5ca2ff7eec1ac378c5e33148fd64df.jpg
source\body_tissue_or_organ\IMG_6919_JPG.rf.a7dee53bf97db832a15ee9ec4f63dc7a.jpg,,,body_tissue_or_organ,body_tissue_or_organ:img_6919,body_tissue_or_organ:img_6919:82,0,ONE,,0,0,0,0,0,0,0,0,0,0,train,body_tissue_or_organ/IMG_6919_JPG.rf.a7dee53bf97db832a15ee9ec4f63dc7a.jpg
